no;en_name;de_name;type;level
100;Footer;Footer;folder;1
100.1;Abount Burmester;Über Burmesters;folder;
100.1.1;News;Aktuelles;page;
100.1.2;Jobs;Karriere;page;
100.1.3;Service & Downloads;Service & Downloads;page;
100.2;Customer Service;Kundenservice;folder;
100.2.1;Storefinder;Storefinder;page;
100.2.2;FAQ;FAQ;page;
100.2.3;Contact;Kontakt;page;
100.3;Guidelines;Richtlinien;folder;
100.3.1;Terms & Conditions;AGB;page;
100.3.2;Withdrawal;Widerrufsrecht;page;
100.3.3;Shipping & payment;Versand & Zahlung;page;
100.4;Newsletter;Newsletter;folder;
100.4.1;Sign up for the newsletter;Zum Newsletter anmelden;page;
